index,content
为什么要实现HTML语义化？,易于用户阅读，样式丢失的时候能让页面呈现清晰的结构。有利于SEO，搜索引擎根据标签来确定上下文和各个关键字的权重。方便屏幕阅读器解析，如盲人阅读器根据语义渲染网页。有利于开发和维护，语义化更具可读性，代码更好维护，与CSS3关系更和谐。
什么是CSS盒模型？,盒模型是用于描述网页中元素布局的一个重要概念。它指的是每个 HTML 元素在页面上都被视为一个矩形的盒子，这个盒子包括了元素的内容（content）、内边距（padding）、边框（border）和外边距（margin）。这些部分组成了元素的整体尺寸和定位。
为什么会出现盒子塌陷？,当父元素没设置足够大小的时候，而子元素设置了浮动的属性，子元素就会跳出父元素的边界（脱离文档流），尤其是当父元素的高度为auto时，而父元素中又没有其它非浮动的可见元素时，父盒子的高度就会直接塌陷为零， 我们称这是CSS高度塌陷。
解释一下JavaScript中变量声明方式,var：在变量未赋值时，变量undefined（为使用声明变量时也为undefined）var的作用域为方法作用域，只要在方法内定义了，整个方法内的定义变量后的代码都可以使用。let：在变量为声明前直接使用会报错let为块作用域通常let比var 范围要小let禁止重复声明变量，否则会报错；var可以重复声明。const：const 声明创建一个只读的常量。一旦被赋值，常量的值就不能被修改。和let一样，const 声明也受限于块级作用域。常量的命名规则与变量相同，但通常使用全大写字母。
JavaScript中数据类型以及它们之间的区别,基本数据类型：Number，String，Boolean，null，undefined，symbol，bigint（后两个为ES6新增）引用数据类型：object，function（proto Function.prototype）object：普通对象，数组对象，正则对象，日期对象，Math数学函数对象。两种数据存储方式：基本数据类型是直接存储在栈中的简单数据段，占据空间小、大小固定，属于被频繁使用的数据。栈是存储基 本类型值和执行代码的空间。引用数据类型是存储在堆内存中，占据空间大、大小不固定。引用数据类型在栈中存储了指针，该指针指向堆 中该实体的起始地址，当解释器寻找引用值时，会检索其在栈中的地址，取得地址后从堆中获得实体。两种数据类型的区别：堆比栈空间大，栈比堆运行速度快。堆内存是无序存储，可以根据引用直接获取。基础数据类型比较稳定，而且相对来说占用的内存小。引用数据类型大小是动态的，而且是无限的。
对constructor的理解,创建的每个函数都有一个prototype（原型）对象，这个属性是一个指针，指向一个对象。在默认情况下，所有原型对象都会自动获得一个constructor（构造函数）属性，这个属性是一个指向prototype属性所在函数的指针。当调用构造函数创建一个新实例后，该实例的内部将包含一个指针（继承自构造函数的prototype），指向构造函数的原型对象。注意当将构造函数的prototype设置为等于一个以对象字面量形式创建的新对象时，constructor属性不再指向该构造函数。
map和forEach的区别,相同点：都是循环遍历数组中的每一项每次执行匿名函数都支持三个参数，参数分别为item（当前每一项），index（索引值），arr（原数组）匿名函数中的this都是指向window只能遍历数组不同点：map()会分配内存空间存储新数组并返回，forEach()不会返回数据。forEach()允许callback更改原始数组的元素。map()返回新的数组。
JavaScript内存泄露的几种情况,意外的全局变量；闭包；未被清空的定时器；未被销毁的事件监听；DOM 引用；
promise和async await 区别,Promise 是异步编程的一种解决方案，比传统的解决方案——回调函数和事件——更合理和更强大，简单地说，Promise好比容器，里面存放着一些未来才会执行完毕（异步）的事件的结果，而这些结果一旦生成是无法改变的。async await也是异步编程的一种解决方案，他遵循的是Generator 函数的语法糖，他拥有内置执行器，不需要额外的调用直接会自动执行并输出结果，它返回的是一个Promise对象。两者的区别：Promise的出现解决了传统callback函数导致的“地域回调”问题，但它的语法导致了它向纵向发展行成了一个回调链，遇到复杂的业务场景，这样的语法显然也是不美观的。而async await代码看起来会简洁些，使得异步代码看起来像同步代码，await的本质是可以提供等同于”同步效果“的等待异步返回能力的语法糖，只有这一句代码执行完，才会执行下一句。async await与Promise一样，是非阻塞的。async await是基于Promise实现的，可以说是改良版的Promise，它不能用于普通的回调函数。
defer和async区别,使用 defer 时，脚本的执行会延迟到文档解析完毕之后，按照顺序执行。使用 async 时，脚本会在加载完成后立即执行，不会影响文档解析和其他资源的加载。
call appy bind的作用和区别,作用：都可以改变函数内部的this指向。区别点：call 和 apply 会调用函数，并且改变函数内部this指向。call 和 apply 传递的参数不一样，call 传递参数arg1，arg2...形式 apply 必须数组形式[arg]bind 不会调用函数，可以改变函数内部this指向。
JavaScript继承的方法和优缺点,原型链继承实现方式：将子类的原型链指向父类的对象实例原理：子类实例child的__proto__指向Child的原型链prototype，而Child.prototype指向Parent类的对象实例，该父类对象实例的__proto__指向Parent.prototype，所以Child可继承Parent的构造函数属性、方法和原型链属性、方法优点：可继承构造函数的属性，父类构造函数的属性，父类原型的属性缺点：无法向父类构造函数传参；且所有实例共享父类实例的属性，若父类共有属性为引用类型，一个子类实例更改父类构造函数共有属性时会导致继承的共有属性发生变化；构造函数继承实现方式：在子类构造函数中使用call或者apply劫持父类构造函数方法，并传入参数原理：使用call或者apply更改子类函数的作用域，使this执行父类构造函数，子类因此可以继承父类共有属性优点：可解决原型链继承的缺点缺点：不可继承父类的原型链方法，构造函数不可复用组合继承原理：综合使用构造函数继承和原型链继承优点：可继承父类原型上的属性，且可传参；每个新实例引入的构造函数是私有的缺点：会执行两次父类的构造函数，消耗较大内存，子类的构造函数会代替原型上的那个父类构造函数原型式继承原理：类似Object.create，用一个函数包装一个对象，然后返回这个函数的调用，这个函数就变成了个可以随意增添属性的实例或对象，结果是将子对象的__proto__指向父对象缺点：共享引用类型寄生式继承原理：二次封装原型式继承，并拓展优点：可添加新的属性和方法寄生组合式继承原理：改进组合继承，利用寄生式继承的思想继承原型
为什么JavaScript是单线程的,这主要和js的用途有关，js是作为浏览器的脚本语言，主要是实现用户与浏览器的交互，以及操作dom；这决定了它只能是单线程，否则会带来很复杂的同步问题。 举个例子：如果js被设计了多线程，如果有一个线程要修改一个dom元素，另一个线程要删除这个dom元素，此时浏览器就会一脸茫然，不知所措。所以，为了避免复杂性，从一诞生JavaScript就是单线程，这已经成了这门语言的核心特征，将来也不会改变。
宏、微队列及执行顺序,宏列队：用来保存待执行的宏任务（回调），比如：定时器回调、DOM 事件回调、ajax 回调微列队：用来保存待执行的微任务（回调），比如：promise的回调、MutationObserver 的回调JS 执行时会区别这 2 个队列，JS 引擎首先必须先执行所有的初始化同步任务代码，每次准备取出第一个宏任务执行前， 都要将所有的微任务一个一个取出来执行，也就是优先级比宏任务高，且与微任务所处的代码位置无关。
什么是死锁,死锁是指两个或两个以上的进程在执行过程中，由于竞争资源而造成阻塞的现象，若无外力作用，它们都将无法继续执行。
产生死锁的必要条件,互斥条件（Mutual Exclusion）：至少有一个资源必须处于非共享模式，即一次只能被一个进程使用。如果一个进程在使用某资源时，其他进程无法同时使用该资源，就称为互斥条件。请求和保持条件（Hold and Wait）：进程至少在持有一个资源的同时，还在等待获取其他进程占有的资源。换句话说，进程在请求新的资源时不释放已经占有的资源。不剥夺条件（No Preemption）：进程已经获取的资源不能被强行剥夺，只能在进程使用完自己所拥有的资源之后自行释放。这意味着只能由持有资源的进程自己释放资源，而不能被其他进程强行夺走。环路等待条件（Circular Wait）：存在一个进程等待序列，使得每个进程都在等待下一个进程所占有的资源，形成一个环路。换句话说，每个进程都在等待下一个进程所持有的资源，直到最后一个进程等待第一个进程所占有的资源，从而形成了一个环路。
暂时性死区,暂时性死区的本质就是，只要一进入当前作用域，所要使用的变量就已经存在了，但是不可获取，只有等到声明变量的那一行代码出现，才可以获取和使用该变量。
使用setInterval请求实时数据，返回顺序不一致怎么解决,"使用setTimeout代替setInterval程序首先设置10秒后发起请求，当数据返回后再隔10秒发起第二次请求，以此类推。这样的话虽然无法保证两次请求之间的时间间隔为固定值，但是可以保证到达数据的顺序。WebSocketWebSocket 协议本质上是一个基于 TCP 的协议。为了建立一个 WebSocket 连接，客户端浏览器首先要向服务器发起一个 HTTP 请求，这个请求和通常的 HTTP 请求不同，包含了一些附加头信息，其中附加头信息""Upgrade: WebSocket""表明这是一个申请协议升级的 HTTP 请求，服务器端解析这些附加的头信息然后产生应答信息返回给客户端，客户端和服务器端的 WebSocket 连接就建立起来了，双方就可以通过这个连接通道自由的传递信息，并且这个连接会持续存在直到客户端或者服务器端的某一方主动的关闭连接。"
