index,content
⾯向过程与⾯向对象的区别,⾯向过程可以理解为按步骤处理问题 ；⾯向对象可以理解为将具体事务存在的属性、⾏为抽象出来，然后去进⾏实现。
什么是值传递和引用传递,值传递是对基本数据类型而言，只进行值的拷贝，不会影响原变量 ；引⽤传递是对对象⽽⾔，不是传递对象的值，⽽是传递对象的地址，如果副本改变会影响到原对象。
String为什么是不可变的,String内部维护的是private final char/byte数组，不可变线程安全好处-防⽌被恶意篡改-作为HashMap的key可以保证不可变性-可以实现字符串常量池，在Java中，创建字符串对象的⽅式：通过字符串常量进⾏创建，在字符串常量池判断是否存在，如果存在就返回，不存在就在字符串常量池创建后返回；通过new字符串对象进⾏创建，在字符串常量池中判断是否存在，如果不存在就创建，再判断堆中是否存在，如果不存在就创建，然后返回该对象，总之要保证字符串常量池和 堆中都有该对象。
String、StringBuilder、StringBuffer的区别,String内部维护的是private final char/byte数组，不可变线程安全；StringBuilder可变，线程不安全，可以使⽤append进⾏拼接字符串；StringBuffer可变，通过synchronized来保证线程安全，操作和StringBuilder⼀样，synchronized对于出现在循环中会进⾏锁粗化，会将锁的范围扩展到整个操作，从⽽避免频繁进⾏锁操作造成性能开销。
final、finally、finalize的区别,final修饰的类不能被继承、属性是常量⽽且必须初始化、修饰的⽅法不能被重写finally⽤于异常处理，finally代码块中的内容⼀定会执⾏。finalize是Object类的⼀个⽅法，当我们调⽤system.gc()时会调⽤，也可以使用它在GC时自救⼀次。重写finalize⽅法的对象会被加⼊到⼀个unfinalized链表中，⾸次GC时不会回收该对 象，调⽤完finalize后，然后从unfinalized链表剔除，此时对象可以进⾏⾃救，将⾃⼰重新加⼊到引⽤链上，下⼀次GC时会进⾏回收。
ArrayList和LinkedList的区别,ArrayList基于数组实现，LinkedList基于链表实现ArryList适合随机查找，LinkedList适合增删，时间复杂度不同ArrayList和LinkedList都是基于List接⼝实现的，LinkedList还实现了Deque接⼝，可以当做 队列使⽤
CopyOnWriteArrayList底层实现原理,CopyOnWriteArrayList是基于数组实现的，采⽤多写分离的⽅式来应对多线程的读写操作，当对内部数组进⾏操作时，会拷⻉⼀份出来⽤于写，写操作时会进⾏加锁避免并发写⼊导致 数据丢失，⽽读依旧在旧数组进⾏，当操作完之后，再将引⽤重新指向新数组完成整个操作CopyOnWriteArrayList适合读多写少的场景，但是⽐较吃内存，并且对于实时性要求很⾼场景不太适⽤因为可能读到旧数据
HashMap在JDK 7和JDK 8的区别,HashMap在JDK 7采⽤的是 数组 + 链表 的⽅式，由于HashMap的key是基于hash值计算后放到对应的数组槽位的，可能会出现hash碰撞，所以在每个槽位采⽤链表头插法进⾏存放元 素，如果容量不⾜会先扩容HashMap在JDK 8采⽤的是 数组 + 链表/红⿊树 的⽅式，基于JDK 7的基础上为了解决链表过⻓导致查询效率降低以及头插法导致循环链表从⽽死循环造成CPU满载的问题，所以JDK8采⽤了尾插法
ConcurrentHashMap在JDK7和JDK 8的区别,在JDK 7下，采⽤分段锁的⽅式来保证线程安全，内部维护了⼀个segment数组，每个segment都包含了⼀个HashEntry数组，相当于⼀个⼩的HashMap提供了get、put⽅法，并 且segment都实现了ReentrantLock，put元素时通过ReentrantLock加锁在JDK 8下，采⽤synchronized来保证线程安全的，内部维护⼀个Node数组，put元素时对Node节点进⾏加锁，相当于JDK 7减⼩了锁的粒度并且节省了内存
线程、进程、协程的区别,进程是操作系统资源分配的最⼩单位。进程的通信⽅式：管道：管道分为匿名管道与命名管道，匿名管道⽤于⽗⼦进程通信，命名管道⽀持各种进程通信信号：信号是软件层⾯对中断机制的模拟消息队列：克服信号量有限的弊端，具有读、写能⼒共享内存：通过多个进程读取公共内存进⾏通信，⽐如分布式锁Socket：⽤于⽹络中不同机器的进程通信线程是操作系统任务调度和执⾏的最⼩单位，归属于进程。线程的通信⽅式：通过volatile来保证可⻅性，但是volatile常⽤于单写多读的场景协程是存在于⽤户态轻量级线程，通过减少上下⽂切换频率提升并发性能
