acousticness,energy,explicit,instrumentalness,loudness,popularity,speechiness,year,acousticness_ar,danceability_ar,energy_ar,instrumentalness_ar,loudness_ar,speechiness_ar,tempo_ar,popularity_ar,count,acousticness_yr,danceability_yr,duration_ms_yr,energy_yr,instrumentalness_yr,liveness_yr,loudness_yr,speechiness_yr,tempo_yr,valence_yr,popularity_yr
0.844,0.19,0,0.00438,-14.394,15.807998155446683,0.0333,1959,0.691718182,0.460606061,0.344481818,0.151951183,-13.352,0.055454545,108.7790303,17.21212121,66,0.78490922,0.47976285,211928.132,0.31221019,0.183819909,0.1925164,-14.413364,0.06436665,111.38834,0.4782571,20.5825
0.0625,0.748,0,3.8e-06,-5.855,55.78743516226052,0.031,1995,0.019746756,0.652666667,0.680444444,0.0026882,-6.785333333,0.031333333,119.5438889,56.33333333,18,0.317051007,0.559848326,246106.4683,0.567857636,0.126472495,0.198761069,-10.3023948,0.082173713,118.965039,0.529818591,44.22188906
0.96,0.0354,0,0.00868,-47.731,55.5498241492282,0.0,2017,0.96,0.0,0.0354,0.00868,-47.731,0.0,0.0,65.0,2,0.207413243,0.580475186,243402.2495,0.68639182,0.24706817,0.231512987,-8.026319109,0.096716512,121.8298066,0.436313381,31.66233766
0.768,0.77,0,0.000152,-10.525,26.908261734291074,0.0352,1967,0.749968254,0.383396825,0.304565079,0.000222504,-12.26368254,0.036769841,103.3671746,25.87301587,126,0.542332251,0.489199001,198554.5866,0.441366266,0.123022584,0.191377733,-11.84957414,0.051578482,116.0915986,0.545514528,31.14927609
0.923,0.14,0,0.926,-18.727,17.496953012512208,0.0274,1961,0.775923022,0.473336691,0.365640288,0.509783784,-13.63974101,0.037205396,113.2457482,19.68705036,278,0.758147075,0.48771475,234195.0765,0.336076674,0.265371269,0.20764335,-14.269377,0.0592721,111.6490555,0.5073553,19.308
0.789,0.299,0,6.56e-06,-11.96,29.234925718946286,0.0269,1972,0.698922078,0.56674026,0.365571429,0.000533879,-13.4898961,0.039437662,111.0867143,27.68831169,77,0.459884077,0.521192651,247129.1212,0.502628282,0.117752665,0.206121351,-11.7896852,0.053658888,119.3463416,0.593671847,33.92303873
0.94,0.166,0,0.00196,-13.943,-0.021721381253954064,0.0802,1939,0.919916667,0.525416667,0.198483333,0.092097683,-16.03491667,0.045279167,127.7324167,1.291666667,48,0.90901231,0.5136558,220997.613,0.2848278,0.281587954,0.2408573,-13.847035,0.1286782,113.324182,0.5612247,4.096
0.951,0.105,0,0.552,-21.852,-2.423425917076898,0.0402,1930,0.93502974,0.33744415,0.204239455,0.714333333,-21.53935114,0.063850458,105.6407036,0.731707317,738,0.935624888,0.51971018,194691.1029,0.334859841,0.351869301,0.220634836,-12.82348674,0.120197932,109.9247884,0.616089077,0.851007423
0.577,0.579,0,0.0,-9.198,49.35946676609091,0.0872,1977,0.577,0.511,0.579,0.0,-9.198,0.0872,116.13,49.0,2,0.343144046,0.53352069,256076.6782,0.554584217,0.127443588,0.226251924,-11.12688006,0.062954673,121.6445122,0.582772214,35.30934533
4.9e-05,0.938,0,0.958,-6.793,10.41289940816094,0.0508,2012,0.010765998,0.465947368,0.917736842,0.335115921,-6.11445614,0.070575439,130.2781404,11.0877193,57,0.213520749,0.558841246,255291.6544,0.687063691,0.192877215,0.22086636,-7.650871873,0.085438489,123.3806105,0.465576223,31.27820316
0.242,0.538,0,1.75e-05,-16.183,47.66944314232529,0.361,1995,0.175565455,0.8205,0.680090909,0.000611454,-7.445909091,0.174613636,126.4476818,48.18181818,22,0.317051007,0.559848326,246106.4683,0.567857636,0.126472495,0.198761069,-10.3023948,0.082173713,118.965039,0.529818591,44.22188906
0.405,0.495,0,0.0,-6.187,49.70078323501356,0.0282,1995,0.224167442,0.760651163,0.609883721,0.00074707,-6.340325581,0.043965116,134.3290233,48.39534884,86,0.317051007,0.559848326,246106.4683,0.567857636,0.126472495,0.198761069,-10.3023948,0.082173713,118.965039,0.529818591,44.22188906
0.818,0.201,0,1.38e-06,-12.145,42.072052133811766,0.0276,1993,0.33495,0.576625,0.53025,0.000662764,-11.004375,0.03445,133.1685625,42.0,16,0.320281025,0.569725819,247680.3649,0.550038774,0.111799363,0.192185601,-11.0844424,0.076870258,120.4223093,0.55555854,42.34806356
0.257,0.27,0,3.25e-06,-14.244,31.939370472784937,0.0407,1968,0.430393939,0.620272727,0.436363636,0.07843709,-12.48581818,0.087809091,130.3310303,31.15151515,66,0.492957213,0.497322074,213801.116,0.456887378,0.12503021,0.215084691,-12.00209284,0.058626716,115.8942227,0.563009926,31.2
0.00252,0.597,1,0.0,-6.336,66.17873619408412,0.0627,2017,0.131370668,0.755317227,0.620470588,0.018010097,-6.696835574,0.184462638,128.8475844,67.15294118,126,0.207413243,0.580475186,243402.2495,0.68639182,0.24706817,0.231512987,-8.026319109,0.096716512,121.8298066,0.436313381,31.66233766
0.356,0.549,0,0.0,-12.145,33.9304102909905,0.029,2018,0.345106965,0.581780488,0.529305765,0.1250465,-11.76851663,0.04084745,123.182255,35.35033259,902,0.233836135,0.602730914,227073.14,0.659552093,0.229874471,0.231009359,-8.173433677,0.121044731,123.6442881,0.426566334,27.59948416
0.656,0.264,0,0.00735,-20.088,4.410359212091549,0.0659,2010,0.794131868,0.478582418,0.348615385,0.192799132,-14.17538462,0.058627473,108.5974945,2.285714286,91,0.208716534,0.599619582,267172.6741,0.657355258,0.173445287,0.211265273,-8.002705252,0.080149822,123.3271596,0.523396405,29.8281489
0.0792,0.682,0,0.0316,-8.523,48.48015656360567,0.0332,2011,0.064266667,0.487333333,0.759333333,0.021068017,-7.256666667,0.039333333,84.33766667,52.33333333,3,0.239499896,0.576939658,279579.4832,0.657764425,0.210333464,0.199691285,-8.13424214,0.080861611,124.2413348,0.470955935,32.86321015
0.784,0.229,0,0.0,-14.018,20.702755782200484,0.0609,1964,0.823,0.722,0.163666667,0.0,-14.96066667,0.0557,100.6323333,19.0,6,0.695062306,0.501895452,195398.018,0.396852639,0.167019708,0.215589105,-12.84495602,0.061628686,114.7052969,0.557205297,25.74962519
0.699,0.901,0,0.0,-6.31,26.97195953719404,0.17,1964,0.304815361,0.546845361,0.714671134,0.025800332,-8.099082474,0.056464948,122.8051443,29.92783505,388,0.695062306,0.501895452,195398.018,0.396852639,0.167019708,0.215589105,-12.84495602,0.061628686,114.7052969,0.557205297,25.74962519
0.0897,0.54,0,0.0,-8.66,51.125659990842394,0.32,1998,0.14552,0.8576,0.5826,2.08e-07,-8.064,0.2457,103.421,50.2,5,0.301000801,0.580688004,249384.6264,0.599213024,0.126487913,0.195251622,-9.14002704,0.088892429,118.0700821,0.529285202,44.85496559
0.289,0.872,0,0.278,-2.752,14.75268435077713,0.0427,1962,0.35,0.648,0.8235,0.4395,-5.1685,0.0478,107.89,16.5,4,0.725941852,0.4907444,206267.5385,0.36607358,0.171209073,0.2017907,-13.2739125,0.05652565,114.6859515,0.5415934,21.93
0.922,0.581,0,0.692,-11.748,22.927910239433558,0.243,2002,0.619100446,0.468539568,0.329813222,0.227848114,-14.32358162,0.057146378,113.7579859,20.40108108,925,0.296350836,0.569584428,242690.5367,0.630117329,0.107954372,0.19977927,-8.066172263,0.081590316,119.453072,0.534913187,45.67542579
0.702,0.38,0,0.019,-17.98,24.791700982448603,0.0557,1967,0.580776364,0.583690909,0.545461818,0.383685483,-12.74803636,0.039856364,117.3487455,25.47272727,110,0.542332251,0.489199001,198554.5866,0.441366266,0.123022584,0.191377733,-11.84957414,0.051578482,116.0915986,0.545514528,31.14927609
0.839,0.39,0,0.00895,-20.811,5.04610932571542,0.0502,1945,0.96859466,0.366517872,0.151822234,0.783726702,-20.75976848,0.062714523,104.4079282,9.237731734,917,0.711386013,0.51785615,195720.2665,0.225412571,0.27492807,0.2033342,-16.9279975,0.30171355,108.256917,0.4914163,2.093
0.972,0.0174,0,0.789,-29.412,-3.63561069403589,0.0381,1950,0.958947299,0.214503473,0.214387063,0.789,-25.18276638,0.049155916,83.14701406,1.630718954,612,0.822814401,0.52903705,208073.6155,0.30353605,0.211687856,0.2249315,-14.400896,0.25047935,110.500212,0.5570354,3.86
